"","year","chinook","pod","heading","whales","sot.n","tot.time","rolling","cartwheel","breach","pecslap","dorsal.slap","tailslap","other.perc","spyhop","tide","tot.breach","tot.perc","pwm","bwm","swm","npods"
"160",2001,2.82,"JKL","S",60,1.32,61,0,2,4,0,0,31,1,3,"flood",6,32,0.0087431693989071,0.00163934426229508,0.000819672131147541,3
"161",2001,2.82,"JKL","N",34,1.03,48,0,0,0,0,0,1,0,1,"flood",0,1,0.000612745098039216,0,0.000612745098039216,3
"162",2001,2.82,"L","S",14,0.71,20,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"163",2001,2.82,"JKL","N",32,0.5,36,0,3,0,0,0,0,1,1,"flood",3,1,0.000868055555555556,0.00260416666666667,0.000868055555555556,3
"164",2001,2.82,"JK","N",40,0.2,27,0,0,1,0,0,5,0,0,"flood",1,5,0.00462962962962963,0.000925925925925926,0,2
"165",2001,2.82,"L","S",10,0.2,13,1,0,0,1,0,0,3,0,"ebb",0,4,0.0307692307692308,0,0,1
"166",2001,2.82,"J","N",31,1.13,58,0,0,0,0,0,0,0,2,"flood",0,0,0,0,0.00111234705228031,1
"167",2001,2.82,"KL","N",51,1.16,13,0,2,9,1,0,39,1,0,"ebb",11,41,0.0618401206636501,0.0165912518853695,0,2
"168",2001,2.82,"L","S",8,0.5,18,0,0,1,0,0,1,2,0,"flood",1,3,0.0208333333333333,0.00694444444444444,0,1
"169",2001,2.82,"J","NS",NA,NA,16,0,0,0,0,0,0,1,0,"slack",0,1,NA,NA,NA,1
"170",2001,2.82,"L","S",20,0.45,13,0,0,0,0,0,1,0,0,"flood",0,1,0.00384615384615385,0,0,1
"171",2001,2.82,"L","S",6,0.33,4,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"172",2001,2.82,NA,"NS",NA,NA,8,0,0,0,0,0,0,0,0,"flood",0,0,NA,NA,NA,NA
"173",2001,2.82,"JKL","N",19,1.63,54,0,0,2,4,0,6,0,2,"flood",2,10,0.00974658869395711,0.00194931773879142,0.00194931773879142,3
"174",2001,2.82,"J","S",16,0.06,10,0,0,0,0,0,0,0,0,"ebb",0,0,0,0,0,1
"175",2001,2.82,"JKL","N",27,2.22,91,0,1,0,1,0,10,0,7,"ebb",1,11,0.00447700447700448,0.000407000407000407,0.00284900284900285,3
"176",2001,2.82,"J","S",8,0.5,17,0,0,0,0,0,1,0,0,"ebb",0,1,0.00735294117647059,0,0,1
"177",2001,2.82,"J","NS",11,1.09,72,0,0,0,0,0,1,0,1,"ebb",0,1,0.00126262626262626,0,0.00126262626262626,1
"178",2001,2.82,"JKL","N",41,1.29,114,2,0,2,1,0,8,0,0,"ebb",2,9,0.00192554557124519,0.000427899015832264,0,3
"179",2001,2.82,"L","S",5,0.4,17,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"180",2001,2.82,"L","S",4,0.25,27,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"181",2002,1.56,"J","N",14,0.57,19,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"182",2002,1.56,"J","SN",1,NA,23,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"183",2002,1.56,"J","NS",1,NA,13,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"184",2002,1.56,"J","N",13,0.31,17,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"185",2002,1.56,"J","S",12,0.42,15,0,0,0,0,0,0,0,1,"flood",0,0,0,0,0.00555555555555555,1
"186",2002,1.56,"J","NS",20,NA,26,0,0,0,0,0,14,1,3,"ebb",0,15,0.0288461538461538,0,0.00576923076923077,1
"187",2002,1.56,"JKL","N",30,0.87,40,0,1,0,0,0,1,0,0,"flood",1,1,0.000833333333333333,0.000833333333333333,0,3
"188",2002,1.56,"L","S",3,0.33,9,0,0,0,0,0,0,0,0,"flood",0,0,0,0,0,1
"189",2002,1.56,"K","NS",12,NA,50,0,0,0,0,0,3,0,1,"flood",0,3,0.005,0,0.00166666666666667,1
